Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
巴黎埃菲尔铁塔,qwen,map,Direct,12,50.00%,2025-12-25T17:46:55.489932,37.50%,25.00%,75.00%,75.00%,50.00%
广州塔,claude,context,Direct,13,54.17%,2025-12-25T17:48:34.609024,75.00%,25.00%,25.00%,25.00%,100.00%
广州塔,claude,graph,Direct,16,66.67%,2025-12-25T17:51:47.827326,87.50%,0.00%,50.00%,75.00%,100.00%
广州塔,claude,map,Direct,11,45.83%,2025-12-25T17:53:20.558552,50.00%,0.00%,75.00%,0.00%,100.00%
广州塔,deepseek,context,Direct,9,37.50%,2025-12-25T17:54:33.411943,50.00%,25.00%,25.00%,25.00%,50.00%
广州塔,deepseek,graph,Direct,11,45.83%,2025-12-25T17:55:46.262626,37.50%,25.00%,75.00%,25.00%,75.00%
广州塔,deepseek,map,Direct,11,45.83%,2025-12-25T17:57:00.030117,25.00%,50.00%,75.00%,0.00%,100.00%
广州塔,gemini,context,Direct,21,87.50%,2025-12-25T18:05:23.220383,100.00%,100.00%,100.00%,25.00%,100.00%
广州塔,gemini,graph,Direct,20,83.33%,2025-12-25T18:18:04.548730,100.00%,100.00%,50.00%,50.00%,100.00%
广州塔,gemini,map,Direct,17,70.83%,2025-12-25T18:33:02.299137,100.00%,25.00%,75.00%,25.00%,100.00%
广州塔,openai,context,Direct,17,70.83%,2025-12-25T18:33:52.205346,100.00%,25.00%,75.00%,25.00%,100.00%
广州塔,openai,graph,Direct,10,41.67%,2025-12-25T18:34:41.476074,25.00%,0.00%,50.00%,50.00%,100.00%
广州塔,openai,map,Direct,11,45.83%,2025-12-25T18:35:27.092629,12.50%,75.00%,50.00%,25.00%,100.00%
广州塔,qwen,context,Direct,11,45.83%,2025-12-25T18:35:54.124785,50.00%,25.00%,50.00%,25.00%,75.00%
广州塔,qwen,graph,Direct,14,58.33%,2025-12-25T18:36:21.243578,50.00%,25.00%,75.00%,50.00%,100.00%
广州塔,qwen,map,Direct,14,58.33%,2025-12-25T18:36:54.380830,37.50%,75.00%,100.00%,25.00%,75.00%
旧金山联合广场,claude,context,Direct,15,62.50%,2025-12-25T18:38:58.178836,50.00%,25.00%,100.00%,75.00%,75.00%
旧金山联合广场,claude,graph,Direct,11,45.83%,2025-12-25T18:43:19.658818,25.00%,25.00%,100.00%,50.00%,50.00%
旧金山联合广场,claude,map,Direct,15,62.50%,2025-12-25T18:45:02.593457,50.00%,50.00%,100.00%,50.00%,75.00%
旧金山联合广场,deepseek,context,Direct,11,45.83%,2025-12-25T18:46:18.347145,37.50%,25.00%,100.00%,25.00%,50.00%
旧金山联合广场,deepseek,graph,Direct,9,37.50%,2025-12-25T18:47:30.421240,0.00%,50.00%,50.00%,25.00%,100.00%
旧金山联合广场,deepseek,map,Direct,11,45.83%,2025-12-25T18:48:46.723993,12.50%,50.00%,100.00%,25.00%,75.00%
旧金山联合广场,gemini,context,Direct,18,75.00%,2025-12-25T19:04:57.878608,75.00%,100.00%,100.00%,50.00%,50.00%
旧金山联合广场,gemini,graph,Direct,13,54.17%,2025-12-25T19:21:58.718558,25.00%,75.00%,75.00%,75.00%,50.00%
旧金山联合广场,gemini,map,Direct,15,62.50%,2025-12-25T19:35:59.133485,50.00%,50.00%,75.00%,75.00%,75.00%
旧金山联合广场,openai,context,Direct,15,62.50%,2025-12-25T19:37:08.496822,62.50%,50.00%,75.00%,75.00%,50.00%
旧金山联合广场,openai,graph,Direct,13,54.17%,2025-12-25T19:38:13.928988,25.00%,50.00%,75.00%,75.00%,75.00%
旧金山联合广场,openai,map,Direct,15,62.50%,2025-12-25T19:39:24.963208,37.50%,50.00%,75.00%,75.00%,100.00%
