文件名,区域,覆盖率,覆盖道路长度_m,总道路长度_m,解析POI数,访问POI去重数,本地POI总数,访问POI覆盖率,缺失访问POI数,缺失访问POI示例,使用段数,未匹配POI数,无路可达段数,错误
评估报告_维也纳美泉宫_gemini_context_report.txt.json,维也纳美泉宫,0.742124,4774.43,6433.47,15,15,15,1.000000,0,,14,0,0,
评估报告_维也纳美泉宫_openai_context_report.txt.json,维也纳美泉宫,0.742124,4774.43,6433.47,15,15,15,1.000000,0,,14,0,0,
评估报告_维也纳美泉宫_qwen_context_report.txt.json,维也纳美泉宫,0.676150,4349.99,6433.47,14,14,15,0.933333,1,Korb (No.4),13,0,0,
评估报告_罗马斗兽场_claude_context_report.txt.json,罗马斗兽场,0.706145,7574.79,10726.97,15,15,15,1.000000,0,,14,0,0,
评估报告_罗马斗兽场_deepseek_context_report.txt.json,罗马斗兽场,0.706145,7574.79,10726.97,15,15,15,1.000000,0,,14,0,0,
评估报告_罗马斗兽场_gemini_context_report.txt.json,罗马斗兽场,0.706145,7574.79,10726.97,15,15,15,1.000000,0,,14,0,0,
评估报告_罗马斗兽场_openai_context_report.txt.json,罗马斗兽场,0.706145,7574.79,10726.97,15,15,15,1.000000,0,,14,0,0,
评估报告_罗马斗兽场_qwen_context_report.txt.json,罗马斗兽场,0.679868,7292.92,10726.97,15,15,15,1.000000,0,,14,0,0,
评估报告_芝加哥千禧公园_claude_context_report.txt.json,芝加哥千禧公园,0.807643,4103.48,5080.81,14,14,14,1.000000,0,,13,0,0,
评估报告_芝加哥千禧公园_deepseek_context_report.txt.json,芝加哥千禧公园,0.704969,3581.81,5080.81,14,14,14,1.000000,0,,13,0,0,
评估报告_芝加哥千禧公园_gemini_context_report.txt.json,芝加哥千禧公园,0.807643,4103.48,5080.81,14,14,14,1.000000,0,,13,0,0,
评估报告_芝加哥千禧公园_openai_context_report.txt.json,芝加哥千禧公园,0.704969,3581.81,5080.81,14,14,14,1.000000,0,,13,0,0,
评估报告_芝加哥千禧公园_qwen_context_report.txt.json,芝加哥千禧公园,0.729805,3708.00,5080.81,14,14,14,1.000000,0,,13,0,0,
评估报告_长沙五一广场_claude_context_report.txt.json,长沙五一广场,0.754028,5675.63,7527.08,12,12,12,1.000000,0,,11,0,0,
评估报告_长沙五一广场_deepseek_context_report.txt.json,长沙五一广场,0.754028,5675.63,7527.08,12,12,12,1.000000,0,,11,0,0,
评估报告_长沙五一广场_gemini_context_report.txt.json,长沙五一广场,0.754028,5675.63,7527.08,12,12,12,1.000000,0,,11,0,0,
评估报告_长沙五一广场_openai_context_report.txt.json,长沙五一广场,0.754028,5675.63,7527.08,12,12,12,1.000000,0,,11,0,0,
评估报告_长沙五一广场_qwen_context_report.txt.json,长沙五一广场,0.754028,5675.63,7527.08,12,12,12,1.000000,0,,11,0,0,
