Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
芝加哥千禧公园,claude,context,Direct,22,91.67%,2026-03-20T01:49:13.798695,0,87.50%,100.00%,100.00%,75.00%,100.00%
长沙五一广场,claude,context,Direct,16,66.67%,2026-03-20T01:52:47.109876,0,50.00%,100.00%,75.00%,25.00%,100.00%
上海外滩,qwen,context,Direct,20,83.33%,2026-03-20T01:56:05.275325,0,100.00%,75.00%,50.00%,75.00%,100.00%
多伦多CN塔,qwen,context,Direct,19,79.17%,2026-03-20T01:59:07.653980,0,87.50%,75.00%,50.00%,100.00%,75.00%
巴黎埃菲尔铁塔,qwen,context,Direct,22,91.67%,2026-03-20T02:03:02.450545,0,87.50%,100.00%,100.00%,75.00%,100.00%
洛杉矶好莱坞,qwen,context,Direct,15,62.50%,2026-03-20T02:10:03.598873,0,62.50%,100.00%,50.00%,25.00%,75.00%
长沙五一广场,qwen,context,Direct,14,58.33%,2026-03-20T02:16:19.054952,0,25.00%,100.00%,75.00%,25.00%,100.00%
伦敦大本钟,qwen,context,Direct,16,66.67%,2026-03-20T02:25:32.642383,0,87.50%,50.00%,75.00%,50.00%,50.00%
北京天安门,qwen,context,Direct,12,50.00%,2026-03-20T02:27:36.517508,0,37.50%,50.00%,50.00%,25.00%,100.00%
广州塔,qwen,context,Direct,14,58.33%,2026-03-20T02:34:16.052348,0,62.50%,25.00%,75.00%,25.00%,100.00%
柏林勃兰登堡门,qwen,context,Direct,17,70.83%,2026-03-20T02:39:54.153933,0,62.50%,100.00%,75.00%,50.00%,75.00%
武汉黄鹤楼,qwen,context,Direct,11,45.83%,2026-03-20T02:42:42.567659,0,25.00%,75.00%,75.00%,25.00%,50.00%
纽约时代广场,qwen,context,Direct,15,62.50%,2026-03-20T02:48:02.925323,0,62.50%,50.00%,75.00%,25.00%,100.00%
维也纳美泉宫,qwen,context,Direct,18,75.00%,2026-03-20T02:50:38.386557,0,62.50%,100.00%,100.00%,25.00%,100.00%
罗马斗兽场,qwen,context,Direct,14,58.33%,2026-03-20T02:54:48.941764,0,37.50%,100.00%,50.00%,25.00%,100.00%
芝加哥千禧公园,qwen,context,Direct,16,66.67%,2026-03-20T02:57:55.504641,0,62.50%,100.00%,75.00%,25.00%,75.00%
旧金山联合广场,qwen,context,Direct,12,50.00%,2026-03-20T03:06:22.343767,0,25.00%,75.00%,75.00%,50.00%,50.00%
