source_shp,base_grid_size,target_grid_size,scale_factor,center_lat,center_lng,min_lat,min_lng,max_lat,max_lng,boundary_corners_latlng,cell_edge_m,cell_step_m
data\广州塔\格网数据.shp,20,40,2.0,23.12933883550005,113.26390380249998,23.117696486500076,113.25131645349998,23.140981184500024,113.27649115149998,"(23.117696486500076,113.25131645349998);(23.140981184500024,113.25131645349998);(23.140981184500024,113.27649115149998);(23.117696486500076,113.27649115149998)",64.5429085735984,66.1978549472804
data\广州塔\格网数据.shp,20,60,3.0,23.12933883550005,113.26390380249998,23.111875312000087,113.24502277899998,23.146802359000013,113.28278482599998,"(23.111875312000087,113.24502277899998);(23.146802359000013,113.24502277899998);(23.146802359000013,113.28278482599998);(23.111875312000087,113.28278482599998)",64.54290852367754,65.63685612577376
data\旧金山联合广场\格网数据.shp,20,40,2.0,37.78690801400008,-122.40666024399997,37.77531528000004,-122.41950933400004,37.79850074800013,-122.39381115399989,"(37.77531528000004,-122.41950933400004);(37.79850074800013,-122.41950933400004);(37.79850074800013,-122.39381115399989);(37.77531528000004,-122.39381115399989)",60.45475255961075,62.004874420113595
data\旧金山联合广场\格网数据.shp,20,60,3.0,37.78690801400008,-122.40666024399997,37.76951891300001,-122.42593387900007,37.80429711500015,-122.38738660899986,"(37.76951891300001,-122.42593387900007);(37.80429711500015,-122.42593387900007);(37.80429711500015,-122.38738660899986);(37.76951891300001,-122.38738660899986)",60.45475244856068,61.47940926972272
data\柏林勃兰登堡门\格网数据.shp,20,40,2.0,52.51594819750005,13.378857865500066,52.49947043050003,13.361577030500122,52.53242596450007,13.39613870050001,"(52.49947043050003,13.361577030500122);(52.53242596450007,13.361577030500122);(52.53242596450007,13.39613870050001);(52.49947043050003,13.39613870050001)",75.0394964888259,76.96358614238554
data\柏林勃兰登堡门\格网数据.shp,20,60,3.0,52.51594819750005,13.378857865500066,52.49123154700003,13.35293661300015,52.54066484800008,13.404779117999983,"(52.49123154700003,13.35293661300015);(52.54066484800008,13.35293661300015);(52.54066484800008,13.404779117999983);(52.49123154700003,13.404779117999983)",75.0394961399675,76.31135200674662
data\武汉黄鹤楼\格网数据.shp,20,40,2.0,30.595229930723043,114.3033674513652,30.58351363072308,114.28787240136514,30.606946230723008,114.31886250136527,"(30.58351363072308,114.28787240136514);(30.606946230723008,114.28787240136514);(30.606946230723008,114.31886250136527);(30.58351363072308,114.31886250136527)",69.64749085255329,71.43332395133672
data\武汉黄鹤楼\格网数据.shp,20,60,3.0,30.595229930723043,114.3033674513652,30.577655480723095,114.28012487636511,30.61280438072299,114.3266100263653,"(30.577655480723095,114.28012487636511);(30.61280438072299,114.28012487636511);(30.61280438072299,114.3266100263653);(30.577655480723095,114.3266100263653)",69.64749070619422,70.82795665036699
data\洛杉矶好莱坞\格网数据.shp,20,40,2.0,34.102427355000046,-118.33964776149995,34.093847019000115,-118.34969860449988,34.111007690999976,-118.32959691850002,"(34.093847019000115,-118.34969860449988);(34.111007690999976,-118.34969860449988);(34.111007690999976,-118.32959691850002);(34.093847019000115,-118.32959691850002)",46.98764480180803,48.1924562069826
data\洛杉矶好莱坞\格网数据.shp,20,60,3.0,34.102427355000046,-118.33964776149995,34.089556851000154,-118.35472402599984,34.11529785899994,-118.32457149700005,"(34.089556851000154,-118.35472402599984);(34.11529785899994,-118.35472402599984);(34.11529785899994,-118.32457149700005);(34.089556851000154,-118.32457149700005)",46.9876447551767,47.784045513739024
data\纽约时代广场\格网数据.shp,20,40,2.0,40.75819757500006,-73.98524882799998,40.74187447300013,-74.00259509799992,40.77452067699999,-73.96790255800005,"(40.74187447300013,-74.00259509799992);(40.77452067699999,-74.00259509799992);(40.77452067699999,-73.96790255800005);(40.74187447300013,-73.96790255800005)",81.90175883871376,84.00180393714234
data\纽约时代广场\格网数据.shp,20,60,3.0,40.75819757500006,-73.98524882799998,40.733712922000166,-74.01126823299988,40.782682227999956,-73.95922942300008,"(40.733712922000166,-74.01126823299988);(40.782682227999956,-74.01126823299988);(40.782682227999956,-73.95922942300008);(40.733712922000166,-73.95922942300008)",81.90175854142802,83.28992394043527
data\维也纳美泉宫\格网数据.shp,20,40,2.0,48.207688404000024,16.37461742650003,48.19789275799999,16.362907503499972,48.21748405000006,16.38632734950009,"(48.19789275799999,16.362907503499972);(48.21748405000006,16.362907503499972);(48.21748405000006,16.38632734950009);(48.19789275799999,16.38632734950009)",48.92442897529028,50.17890151311824
data\维也纳美泉宫\格网数据.shp,20,60,3.0,48.207688404000024,16.37461742650003,48.19299493499997,16.35705254199994,48.222381873000074,16.39218231100012,"(48.19299493499997,16.35705254199994);(48.222381873000074,16.35705254199994);(48.222381873000074,16.39218231100012);(48.19299493499997,16.39218231100012)",48.92442887034899,49.753656478321005
data\罗马斗兽场\格网数据.shp,20,40,2.0,41.88943238800008,12.493107147500046,41.87078336200009,12.474764252500067,41.90808141400007,12.511450042500025,"(41.87078336200009,12.474764252500067);(41.90808141400007,12.474764252500067);(41.90808141400007,12.511450042500025);(41.87078336200009,12.511450042500025)",89.80133851200506,92.1039369353898
data\罗马斗兽场\格网数据.shp,20,60,3.0,41.88943238800008,12.493107147500046,41.861458849000094,12.465592805000078,41.91740592700007,12.520621490000014,"(41.861458849000094,12.465592805000078);(41.91740592700007,12.465592805000078);(41.91740592700007,12.520621490000014);(41.861458849000094,12.520621490000014)",89.8013381506573,91.323394729482
data\芝加哥千禧公园\格网数据.shp,20,40,2.0,41.88266009600006,-87.62217231499997,41.873694286000124,-87.63290844299992,41.891625905999994,-87.61143618700002,"(41.873694286000124,-87.63290844299992);(41.891625905999994,-87.63290844299992);(41.891625905999994,-87.61143618700002);(41.873694286000124,-87.61143618700002)",47.14387887405347,48.35269628108048
data\芝加哥千禧公园\格网数据.shp,20,60,3.0,41.88266009600006,-87.62217231499997,41.869211381000156,-87.63827650699989,41.89610881099996,-87.60606812300006,"(41.869211381000156,-87.63827650699989);(41.89610881099996,-87.63827650699989);(41.89610881099996,-87.60606812300006);(41.869211381000156,-87.60606812300006)",47.14387880160069,47.94292759484816
data\长沙五一广场\格网数据.shp,20,40,2.0,28.195199941000034,112.98304124500002,28.179781033000047,112.96391037900004,28.21061884900002,113.00217211100001,"(28.179781033000047,112.96391037900004);(28.21061884900002,112.96391037900004);(28.21061884900002,113.00217211100001);(28.179781033000047,113.00217211100001)",89.73364832273418,92.0345111002402
data\长沙五一广场\格网数据.shp,20,60,3.0,28.195199941000034,112.98304124500002,28.172071579000054,112.95434494600005,28.218328303000014,113.011737544,"(28.172071579000054,112.95434494600005);(28.218328303000014,112.95434494600005);(28.218328303000014,113.011737544);(28.172071579000054,113.011737544)",89.73364807971049,91.25455736919712
