Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
罗马斗兽场,openai,text,Direct,11,45.83%,2025-12-25T03:20:35.868722,50.00%,25.00%,0.00%,75.00%,75.00%
罗马斗兽场,qwen,text,Direct,16,66.67%,2025-12-25T03:21:13.516467,50.00%,75.00%,100.00%,50.00%,75.00%
芝加哥千禧公园,claude,text,Direct,12,50.00%,2025-12-25T03:23:55.157177,62.50%,50.00%,75.00%,25.00%,25.00%
芝加哥千禧公园,deepseek,text,Direct,9,37.50%,2025-12-25T03:25:07.972672,50.00%,50.00%,50.00%,0.00%,25.00%
芝加哥千禧公园,gemini,text,Direct,14,58.33%,2025-12-25T03:35:19.322838,75.00%,100.00%,75.00%,25.00%,0.00%
芝加哥千禧公园,openai,text,Direct,9,37.50%,2025-12-25T03:36:30.900162,37.50%,50.00%,75.00%,25.00%,0.00%
芝加哥千禧公园,qwen,text,Direct,11,45.83%,2025-12-25T03:37:07.761681,37.50%,50.00%,50.00%,50.00%,50.00%
长沙五一广场,claude,text,Direct,15,62.50%,2025-12-25T03:39:17.477291,75.00%,75.00%,50.00%,50.00%,50.00%
长沙五一广场,deepseek,text,Direct,12,50.00%,2025-12-25T03:40:27.629318,75.00%,50.00%,50.00%,25.00%,25.00%
长沙五一广场,gemini,text,Direct,17,70.83%,2025-12-25T03:49:59.438295,100.00%,100.00%,100.00%,0.00%,25.00%
长沙五一广场,openai,text,Direct,15,62.50%,2025-12-25T03:51:14.192597,87.50%,0.00%,50.00%,75.00%,75.00%
长沙五一广场,qwen,text,Direct,17,70.83%,2025-12-25T03:51:49.583333,75.00%,75.00%,100.00%,50.00%,50.00%
