Region,Eval Model,Source File,Context Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
北京天安门,openai,评估报告_北京天安门_qwen_report.txt__北京天安门__summary_memory_50pct.txt,一次压缩,Direct,9,37.50%,2026-03-24T17:09:26.102546,0,37.50%,0.00%,50.00%,25.00%,75.00%
多伦多CN塔,claude,评估报告_多伦多CN塔_qwen_report.txt__多伦多CN塔__summary_memory_50pct.txt,一次压缩,Direct,11,45.83%,2026-03-24T17:17:41.542195,0,37.50%,25.00%,75.00%,50.00%,50.00%
多伦多CN塔,openai,评估报告_多伦多CN塔_qwen_report.txt__多伦多CN塔__summary_memory_50pct.txt,一次压缩,Direct,8,33.33%,2026-03-24T17:19:04.453686,0,25.00%,50.00%,50.00%,25.00%,25.00%
巴黎埃菲尔铁塔,claude,评估报告_巴黎埃菲尔铁塔_qwen_report.txt__巴黎埃菲尔铁塔__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T17:24:03.249309,0,50.00%,0.00%,0.00%,25.00%,50.00%
巴黎埃菲尔铁塔,openai,评估报告_巴黎埃菲尔铁塔_qwen_report.txt__巴黎埃菲尔铁塔__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T17:25:42.027836,0,37.50%,0.00%,75.00%,0.00%,25.00%
广州塔,claude,评估报告_广州塔_qwen_report.txt__广州塔__summary_memory_50pct.txt,一次压缩,Direct,8,33.33%,2026-03-24T17:33:02.671199,0,37.50%,0.00%,50.00%,50.00%,25.00%
广州塔,openai,评估报告_广州塔_qwen_report.txt__广州塔__summary_memory_50pct.txt,一次压缩,Direct,4,16.67%,2026-03-24T17:34:25.850456,0,12.50%,0.00%,50.00%,25.00%,0.00%
旧金山联合广场,claude,评估报告_旧金山联合广场_qwen_report.txt__旧金山联合广场__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T17:39:33.682639,0,0.00%,25.00%,50.00%,75.00%,25.00%
旧金山联合广场,openai,评估报告_旧金山联合广场_qwen_report.txt__旧金山联合广场__summary_memory_50pct.txt,一次压缩,Direct,11,45.83%,2026-03-24T17:43:34.235467,0,50.00%,50.00%,75.00%,0.00%,50.00%
柏林勃兰登堡门,claude,评估报告_柏林勃兰登堡门_qwen_report.txt__柏林勃兰登堡门__summary_memory_50pct.txt,一次压缩,Direct,7,29.17%,2026-03-24T17:48:58.464388,0,12.50%,0.00%,50.00%,75.00%,25.00%
